序号,电影名称,年份,地区,类型,评分,评价人数,名言
142,上帝之城,2002,巴西 法国,犯罪 剧情,8.9,228416人评价,被上帝抛弃了的上帝之城。
143,时空恋旅人,2013,英国,喜剧 爱情 奇幻,8.7,387057人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
144,教父3,1990,美国,剧情 犯罪,8.9,243003人评价,任何信念的力量，都无法改变命运。
145,电锯惊魂,2004,美国,悬疑 惊悚 恐怖,8.7,352715人评价,真相就在眼前。
146,天书奇谭,1983(中国大陆),中国大陆,动画 奇幻,9.2,143187人评价,传奇的年代，醉人的童话。
147,喜宴,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,8.9,237461人评价,中国家庭的喜怒哀乐忍。
148,英雄本色,1986,中国香港,剧情 动作 犯罪,8.7,353333人评价,英雄泪短，兄弟情长。 
149,谍影重重3,2007,美国 德国,动作 悬疑 惊悚,8.8,305462人评价,像吃了苏打饼一样干脆的电影。
150,被解救的姜戈,2012,美国,剧情 动作 西部 冒险,8.7,433049人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
151,岁月神偷,2010,中国香港 中国大陆,剧情 家庭,8.7,454023人评价,岁月流逝，来日可追。
152,七武士,1954,日本,动作 冒险 剧情,9.2,132294人评价,时代悲歌。
153,哪吒闹海,1979,中国大陆,冒险 动画 奇幻,9.1,172352人评价,想你时你在闹海。
154,我是山姆,2001,美国,剧情 家庭,8.9,211743人评价,爱并不需要智商 。
155,疯狂原始人,2013,美国,喜剧 动画 冒险,8.7,614593人评价,老少皆宜，这就是好莱坞动画的魅力。
156,头号玩家,2018,美国,动作 科幻 冒险,8.7,1003899人评价,写给影迷，动漫迷和游戏迷的一封情书。
157,纵横四海,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,285936人评价,香港浪漫主义警匪动作片的巅峰之作。
158,三块广告牌,2017,美国 英国,剧情 犯罪,8.7,599964人评价,怼天怼地，你走后，她与世界为敌。
159,釜山行,2016,韩国,动作 惊悚 灾难,8.5,790880人评价,揭露人性的丧尸题材力作。
160,心迷宫,2014,中国大陆,剧情 犯罪 悬疑,8.7,344633人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
