排名,名称,热度,关注人数,浏览量,标签,链接
18,如何看待蹦床场馆负责人回应女生摔成截瘫：所有设备都有合格证，已告知「颈椎不好不许玩」？,355 万热度,520,416917,"['法律', '研究生', '医疗', '江苏', '蹦床']",https://www.zhihu.com/question/398830197
19,如果 985 大学的教授打算让自己的博士生留校任教，在学生读博期间会怎样培养他？,341 万热度,886,342876,"['博士', '读博', '读硕or读博']",https://www.zhihu.com/question/397069205
20,如何看待重庆高中生「天才少年」徐誉舒疑似因跨性别心理，同时面临校园压力和家庭压力而长期抑郁最后自杀？,335 万热度,304,124142,"['抑郁', '高中生', '性教育', '校园暴力', '跨性别者']",https://www.zhihu.com/question/398873890
21,《王者荣耀》在我国 MOBA 手游界一家独大的场面还会持续多久？,329 万热度,680,837419,"['游戏', '手机游戏', '腾讯游戏', '多人联机在线竞技游戏 (MOBA)', '王者荣耀']",https://www.zhihu.com/question/398250613
22,如何看待女子在重庆吃饭强调不要放辣，回锅肉里吃到青椒和辣椒后愤然报警？,316 万热度,410,263783,"['法律', '美食', '重庆', '川菜', '回锅肉']",https://www.zhihu.com/question/398828071
23,请问如何看待河南科技大学机械设计补考 120 分钟 150 道题？,314 万热度,335,368877,"['大学', '学业重修', '机械专业']",https://www.zhihu.com/question/397347534
24,《英雄联盟》2020 年 TES 的进步真的是 Jackeylove 带来的吗？,303 万热度,252,364670,"['电子竞技', '英雄联盟（LoL）', '英雄联盟职业联赛（LPL）', 'JackeyLove（电竞选手）', '2020 LPL 春季赛']",https://www.zhihu.com/question/398655404
25,为什么大家都不喜欢《甄嬛传》中甘露寺的嬛果恋剧情？,231 万热度,46,86484,"['后宫·甄嬛传（书籍）', '后宫·甄嬛传（电视剧）', '甄嬛传']",https://www.zhihu.com/question/396652221
26,《甄嬛传》：眉庄听到温太医自宫后昏倒，为何皇上没有怀疑她？,228 万热度,190,711063,"['后宫·甄嬛传（电视剧）', '甄嬛传', '甄嬛（电视剧如懿传中角色）']",https://www.zhihu.com/question/393442097
27,如何评价 2020 届应届毕业生就业形势？,206 万热度,828,323348,"['应届毕业生', '大学生就业', '毕业生', '应届毕业生就业', '应届生招聘']",https://www.zhihu.com/question/362043424
28,如何评价《创造营 2020》陈卓璇?,199 万热度,901,2356035,"['综艺', '创造营2020（综艺）']",https://www.zhihu.com/question/380030619
29,如何看待暴雪商城上线《魔兽世界》退役服务器？,199 万热度,205,435228,"['游戏', '网络游戏', '魔兽世界', '魔兽世界：熊猫人之谜', '暴雪游戏平台']",https://www.zhihu.com/question/397863509
30,说说你们最喜欢《武林外传》的哪个配角?,193 万热度,316,251479,"['情景喜剧', '武林外传', '宁财神', '龙门镖局（2013年宁财神版电视剧）', '武林外传（电影）']",https://www.zhihu.com/question/398104777
31,如何评价瑞克和莫蒂（Rick and Morty）第四季第十集？,186 万热度,124,54660,"['瑞克和莫蒂 第一季（动画）', '瑞克和莫蒂 第三季（动画）', '瑞克和莫蒂第四季（动画）']",https://www.zhihu.com/question/398774806
32,如何看蔡徐坤在《青春有你 2》成团夜的表现？,183 万热度,255,566751,"['综艺', '蔡徐坤（KUN）', '青春有你 第二季（综艺）']",https://www.zhihu.com/question/398528101
33,如何看待学生去老师家里一对一上乐器课?,182 万热度,497,226229,"['音乐教育', '乐器', '乐器学习']",https://www.zhihu.com/question/398442738
34,华为又开始使用联发科芯片，意味着什么？是战略，还是放弃这块了？,180 万热度,268,247507,"['华为', '联发科 (MTK) 芯片', '手机芯片', '华为海思', '联发科天玑 800']",https://www.zhihu.com/question/397732068
35,「钟美美」本人帐号模仿老师的视频全部删除，发生了什么事？,178 万热度,2216,1622863,"['视频', '网络红人', '短视频']",https://www.zhihu.com/question/398541641
36,你最庆幸自己读过什么书?,175 万热度,202703,27489845,"['书籍推荐', '阅读', '学习', '书籍', '书籍阅读']",https://www.zhihu.com/question/62306995
37,如何看待各大电商平台纷纷在 618 发放消费券，平台真的拿钱补贴消费吗？,172 万热度,351,154194,"['购物', '经济', '消费']",https://www.zhihu.com/question/398821623
38,如何评价张艺兴的 MV《莲》?,172 万热度,115,51142,"['音乐视频（MV）', '华语流行音乐歌手', '张艺兴']",https://www.zhihu.com/question/398747535
39,感情上对不起一个人真的会有报应吗？,162 万热度,900,483373,"['内疚', '愧疚感', '感情纠葛']",https://www.zhihu.com/question/387484666
40,为什么龙珠中悟空（卡卡罗特）没有自己的绝招？,159 万热度,74,101900,"['龙珠Z（日本动画）', '鸟山明', '龙珠（动画）']",https://www.zhihu.com/question/398568162
41,为什么埃尔法卖那么贵，难道买 GL8 不比他香吗？,148 万热度,190,277625,"['丰田（Toyota）', 'MPV', '汽车选购', '别克GL8', '埃尔法']",https://www.zhihu.com/question/396816692
42,如何看待 Lisa 被经纪人骗取 10 亿韩元事件？经纪人真的很重要吗？,143 万热度,176,119611,"['娱乐八卦', '韩国娱乐圈', 'YG Entertainment', '韩国爱豆', 'BLACKPINK']",https://www.zhihu.com/question/398928036
43,如何评价 2020 上半年的 FPX 中野？究竟是 Doinb 英雄池不再优势还是小天节奏迷失了？,126 万热度,133,130484,"['英雄联盟（LoL）', '英雄联盟职业联赛（LPL）', 'FPX 英雄联盟战队（FunPlus Phoenix）', 'Doinb（电竞选手）', 'Tian（电竞选手）']",https://www.zhihu.com/question/398643987
44,韩烁凭什么能击中万千少女的心？,125 万热度,91,39252,"['电视剧', '电视剧推荐', '少女心', '传闻中的陈芊芊（电视剧）', '丁禹兮（演员）']",https://www.zhihu.com/question/397663677
45,《雪国列车》列车为什么要永不停歇的环球行驶，有什么含义？,119 万热度,172,428269,['雪国列车（电影）'],https://www.zhihu.com/question/23073880
46,如何评价《向往的生活》第四季？,118 万热度,295,474599,['向往的生活 第四季（综艺）'],https://www.zhihu.com/question/387462752
47,给诸葛亮 50 部只能打电话的手机，北伐是否能成功？,111 万热度,1463,2044605,"['诸葛亮', '季汉', '三国历史']",https://www.zhihu.com/question/386206319
48,刘雨昕出道以后资源会好吗？,105 万热度,47,58075,"['资本', '爱奇艺', '爱豆 (idol)', '青春有你 第二季（综艺）', '刘雨昕']",https://www.zhihu.com/question/394990546
49,洛杉矶示威者保护科比父女的壁画，你有什么想说的？,99 万热度,111,32150,"['洛杉矶 (Los Angeles)', 'NBA', '科比·布莱恩特（Kobe Bryant）', 'NBA 历史', '美国篮球']",https://www.zhihu.com/question/398959610
50,如何看待深圳将率先立法建立个人破产制度？,93 万热度,428,138961,"['法律', '深圳市', '破产', '失信被执行人', '老赖']",https://www.zhihu.com/question/391491838
