排名,名称,热度,关注人数,浏览量,标签,链接
30,如何看待 5 月 18 日一加 8 透视事件？,267 万热度,85,134932,"['新浪微博', '手机', '微博', '一加科技 (OnePlus)', '一加手机']",https://www.zhihu.com/question/395706545
31,如何看待一加 8pro 的“透视功能“？,261 万热度,26,192610,"['一加科技 (OnePlus)', '一加手机', 'OnePlus 7 Pro']",https://www.zhihu.com/question/395701179
32,如果你是别人，你会愿意和自己谈恋爱吗？,258 万热度,942,168982,"['情感', '恋爱', '大学恋爱', '恋爱心理', '恋爱关系']",https://www.zhihu.com/question/395921422
33,便秘真的那么可怕吗？,252 万热度,2805,14042730,"['健康', '生活', '便秘']",https://www.zhihu.com/question/27657977
34,武当道长陈师行发视频谈太极掌门被 KO，如何看待陈道长的看法？我们该如何看待传武？,239 万热度,118,140016,"['太极', '道士', '传统武术', '武当', '马保国']",https://www.zhihu.com/question/395928806
35,博士生学历真的很重要吗？,230 万热度,10920,7858809,"['博士', '读博', '博士生在读']",https://www.zhihu.com/question/366627317
36,你见过最欠打的影视角色是谁？,215 万热度,346,356599,"['电影', '影视', '电视剧', '影视剧角色']",https://www.zhihu.com/question/394327369
37,为什么《创造营 2020》林君怡看起来似乎观众缘不太好？,212 万热度,142,389908,"['观众', '选秀', '综艺', ' 创造101（综艺）', '创造营2020（综艺）']",https://www.zhihu.com/question/394051278
38,直接去楼盘买房真的比中介贵吗？,204 万热度,430,169465,"['房产', '买房', '百姓购房']",https://www.zhihu.com/question/393131996
39,同样有实力的刘雨昕和安崎，为什么刘雨昕家数据做的那么好，而安崎的排名一直在下滑?,178 万热度,73,75111,"['选秀', '综艺', '青春有你 第二季（综艺）', '刘雨昕', '安崎']",https://www.zhihu.com/question/395762628
40,人大代表建议男性陪产假延至 38 天写入《劳动法》，能否缓解职场夫妻育儿人力不足的压力？,177 万热度,48,4578,"['法律', '劳动法', '新劳动法', '产假']",https://www.zhihu.com/question/396015865
41,猫猫穷养，有什么必需品值得推荐？,177 万热度,124,15219,"['宠物饲养', '猫粮', '宠物猫', '宠物', '本土家猫']",https://www.zhihu.com/question/394076562
42,非全日制的研究生们现在你们怎么样了？,177 万热度,847,529232,"['研究生', '非全日制研究生']",https://www.zhihu.com/question/317339138
43,你认为，若水浒传 108 将中，单按功劳，谁的排名最不合适？,164 万热度,288,339109,"['文学', '水浒传（书籍）', '四大名著', '水浒传（电视剧）', '水浒传人物']",https://www.zhihu.com/question/394995772
44,20 考研调剂系统于今日（5 月 20 日）开放，考研调剂有哪些技巧和注意事项？,163 万热度,72,9397,"['教育', '考研', '考研调剂', '2020考研']",https://www.zhihu.com/question/396029338
45,高考选择什么穿着最舒服？,140 万热度,639,197884,"['高考', '高考生', '高考的那点事儿啊']",https://www.zhihu.com/question/394084251
46,如何看待江疏影发长文回应《清平乐》角色争议？,139 万热度,54,59549,"['明星', '电视剧', '演员', '江疏影', '清平乐（电视剧）']",https://www.zhihu.com/question/395749107
47,如何看待陕西李静芝阿姨 32 年不懈努力终于找到被拐儿子？,130 万热度,62,33233,"['儿童', '陕西', '失孤（电影）', '中国儿童防走失平台']",https://www.zhihu.com/question/395864540
48,如何评价《拜托了冰箱》第六季第四期（郑爽）？,129 万热度,139,194870,['拜托了冰箱 第六季（综艺）'],https://www.zhihu.com/question/395833276
49,河南哪个城市适合过平淡的日子？,121 万热度,513,255591,"['河南', '中原地区', '河南美食']",https://www.zhihu.com/question/394477481
50,职场中，为什么有些能力最强的人往往做不了大领导？,120 万热度,1724,500258,"['职场', '职场新人', '职场心理', '职场沟通', '职场与成长']",https://www.zhihu.com/question/376627540
